year,sex,N_Abx,N
2000,Female,16339,20122
2000,Male,22323,21319
2001,Female,15069,19688
2001,Male,20730,20949
2002,Female,14383,19277
2002,Male,19655,20490
2003,Female,13870,19590
2003,Male,18847,20800
2004,Female,12483,19530
2004,Male,17170,20631
2005,Female,12382,19633
2005,Male,16464,20912
2006,Female,11143,20175
2006,Male,14898,21023
2007,Female,11049,20483
2007,Male,14811,21911
2008,Female,10821,21364
2008,Male,14987,22726
2009,Female,9496,21536
2009,Male,12672,23022
2010,Female,9220,21395
2010,Male,13376,23033
2011,Female,8923,21482
2011,Male,12097,22487
2012,Female,7858,21215
2012,Male,10355,22457
2013,Female,7296,21510
2013,Male,10021,22662
2014,Female,6375,21339
2014,Male,8631,22652
2015,Female,5722,21613
2015,Male,7786,23206
2016,Female,5577,21780
2016,Male,7435,23161
2017,Female,4966,21929
2017,Male,6959,23152
2018,Female,4787,21692
2018,Male,6361,22655
