V1,V2,V3,V4,V5,V6,V7,type
"115,339 (436)","128,577 (442)","122,560 (429)","13,238 (568)"," 7,220 (544)",11.48 (0.52), 6.26 (0.49),prev
"526,680 (1,484)","545,222 (1,383)","536,593 (1,339)","18,542 (1,908)"," 9,913 (1,844)",3.52 (0.37),1.88 (0.35),prev
"729,025 (1,668)","734,116 (1,494)","731,875 (1,552)","5,091 (2,203)","2,851 (2,164)",0.70 (0.30),0.39 (0.30),prev
"611,817 (1,429)","612,159 (1,322)","612,150 (1,327)","343 (1,644)","334 (1,651)",0.06 (0.27),0.05 (0.27),prev
"1,982,861 (4,161)","2,020,074 (3,785)","2,003,178 (3,718)","37,213 (5,370)","20,318 (5,119)",1.88 (0.27),1.03 (0.26),prev
"79,976 (304)","89,362 (279)","85,110 (306)","9,387 (392)","5,134 (383)",11.74 (0.52), 6.42 (0.50),inc
"62,621 (234)","63,301 (226)","62,983 (242)",680 (314),362 (325),1.09 (0.50),0.58 (0.52),inc
"24,914 (143)","24,897 (148)","24,896 (164)",-17 (187),-18 (199),-0.07 (0.75),-0.07 (0.80),inc
"15,882 (113)","15,885 (130)","15,889 (134)",3 (164),8 (121),0.02 (1.03),0.05 (0.76),inc
"183,392 (417)","193,445 (411)","188,878 (425)","10,053 (558)"," 5,486 (515)",5.48 (0.31),2.99 (0.28),inc
"142,426 (659)","158,505 (608)","151,285 (715)","16,078 (886)"," 8,858 (887)",11.29 (0.66), 6.22 (0.64),exac
"157,404 (601)","164,192 (634)","161,045 (651)","6,788 (845)","3,641 (877)",4.31 (0.55),2.31 (0.56),exac
"55,877 (300)","56,252 (270)","56,081 (276)",375 (360),204 (387),0.67 (0.65),0.37 (0.70),exac
"27,365 (176)","27,404 (157)","27,389 (192)",39 (216),25 (256),0.15 (0.79),0.09 (0.94),exac
"383,072 (1,129)","406,352 (1,130)","395,800 (1,172)","23,280 (1,455)","12,728 (1,504)",6.08 (0.39),3.32 (0.40),exac
